GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,TaskDeserializer,11,74,2,6,2,17,2,6,0,4
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,GoalDeserializer,9,91,3,11,3,23,3,8,0,4
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,ModelDeserializer,37,163,4,6,8,40,4,6,0,5
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,QualityDeserializer,0,20,0,0,0,7,0,3,0,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,ConditionDeserializer,0,12,0,0,0,5,0,3,0,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,PredicateDeserializer,0,51,1,1,0,15,1,4,0,4
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,VariableDeserializer,0,51,1,1,0,15,1,4,0,4
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,IStarDTXModule,0,74,0,0,0,12,0,1,0,1
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,EffectDeserializer,21,120,2,10,4,28,2,7,0,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,FormulaDeserializer,177,264,14,34,30,53,13,14,0,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,ActorDeserializer,59,585,25,55,10,119,24,23,0,7
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.deserializers,BaseDeserializer,12,148,8,8,2,36,7,9,0,8
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.processing,ReferenceProcessor,52,589,30,72,13,143,29,34,0,12
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml.formula,FormulaNodeVisitorImpl,156,909,32,46,35,145,35,40,4,32
dtx2X,ca.yorku.cmg.istardt.translators.dtx2dtg,dtx2dtg,1186,0,199,0,255,0,111,0,9,0
dtx2X,ca.yorku.cmg.istardt.translators.dtx2dtg,com2dtg,108,1440,26,96,26,269,25,52,3,13
dtx2X,ca.yorku.cmg.istardt.translators.dtx2dtg,PermutationsGenerator,0,73,0,4,0,16,0,6,0,4
dtx2X,ca.yorku.cmg.istardt.translators.dtx2dtg,Formatter,17,81,5,7,3,18,5,8,0,7
dtx2X,ca.yorku.cmg.istardt.translators.dtx2dtg,FormulaParser,437,443,56,82,89,87,43,39,6,7
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml,ReferenceResolver,26,67,7,5,6,19,8,6,2,6
dtx2X,ca.yorku.cmg.istardt.xmlparser.xml,IStarUnmarshaller,15,46,0,0,4,12,1,3,1,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,NOTOperator,3,17,0,0,1,6,1,3,1,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,MinusOperator,0,17,0,0,0,5,0,2,0,2
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,Formula,0,13,0,0,0,3,0,3,0,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,DecompType,0,21,0,0,0,4,0,1,0,1
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,Effect,78,75,12,0,17,26,13,14,7,14
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,Variable,0,3,0,0,0,1,0,1,0,1
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,ExportedSet,4,17,0,0,2,5,1,3,1,3
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,CrossRunSet,8,31,0,0,4,9,2,5,2,5
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,BooleanConstant,7,10,0,0,3,4,2,2,2,2
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,Model,0,29,0,0,0,12,0,7,0,7
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,Export,0,38,0,0,0,15,0,11,0,11
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,DivideOperator,0,17,0,0,0,5,0,2,0,2
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,Atom,64,94,19,7,6,24,16,13,3,13
dtx2X,ca.yorku.cmg.istardt.xmlparser.objects,LTEOperator,17,0,0,0,5,0,2,0,2,0
